Speaker,Dialogue
PLASUS,I will tolerate absolutely no interference! You will not set
KIRK,"Believe me, sir, I have neither the time nor the desire to return"
PLASUS,"And I shall press them. You are guilty of abduction, Captain!"
KIRK,You're guilty of attacking a starship commander and plotting
VANNA,"Captain, perhaps both incidents are best forgotten."
KIRK,"Yes, Vanna. They never happened. Mister Advisor? "
SPOCK,"Two hours, fifty-nine minutes to be exact, Captain."
KIRK,Kirk to Enterprise. Kirk to Enterprise. Mister Scott beam us up.
Original Airdate,"7 Mar, 1969"
SULU,"All observation stations, take final"
KIRK,"Spock, any answers?"
SPOCK,I still read a suggestion of carbon cycle life forms on the
KIRK,Which is scientifically impossible under conditions there.
SPOCK,"Agreed. Mister Sulu, switch to the planet area I have under"
SULU,"I'm reading it now, Mister Spock. It seems to indicate artificial"
SPOCK,Which would indicate a considerable civilisation there.
MCCOY,"What's all this poppycock about life forms on this planet,"
SPOCK,"Our readings could be false, Captain, perhaps caused by some"
MCCOY,Well I think Starfleet should forget about those old space
KIRK,"Lieutenant, anything from the planet?"
UHURA,"I've repeatedly tried on every hailing frequency, sir. There's"
KIRK,Transmit to Starfleet our sensor readings and log entries on the
UHURA,"Aye, aye, sir."
SULU,"Completing final orbit, sir."
KIRK,Prepare to warp us out.
KIRK,Alert status.
SPOCK,"We're being scanned, Captain. A deep probe, incredibly swift."
MCCOY,Jim!
KIRK,Uhura
KIRK,I recognise what you appear to be.
KIRK,Spock.
SPOCK,Fascinating.
KIRK,"I was requesting your analysis, Spock."
SPOCK,"They did scan us and our vessel, Captain, and doubtless obtained"
KIRK,"We'd be honoured to have you aboard, Mister President."
KIRK,"We can convert to it, sir."
KIRK," Thank you, Mister Mulney."
SPOCK,"Small change occurring there, Captain."
KIRK,"Magnification four, helm."
SULU,"Aye, aye, sir."
SPOCK,An area of approximately one thousand square kilometres. It
SULU,Perfect oxygen-nitrogen atmosphere.
CHEKOV,"He called it to the second, sir. We'll be over it in exactly"
KIRK,"Security, send a detachment to the transporter room immediately,"
MCCOY,"Jim, do you really believe he's Abraham Lincoln?"
KIRK,"It's obvious he believes it. Doctor McCoy, Mister Spock, full"
SCOTT,"Full dress? Presidential honours? What is this nonsense, Mister"
DICKERSON,"I understand President Lincoln's coming aboard, sir."
SCOTT,"Ha! You're daft, man."
DICKERSON,"All I know is what the captain tells me, and he says he'll"
SCOTT,"I'd have expected sanity from the ship's surgeon, at least."
KIRK,"If so, we'll execute appropriate honours to each, Mister Scott."
SCOTT,"Aye, sir."
KIRK,"Gentlemen, I don't for a moment believe that President Lincoln is"
SCOTT,"Locked on to something. Does that appear human to you, Mister"
SPOCK,"Fascinating. For a moment, it appeared almost mineral. Like"
SCOTT,"We can beam it aboard anytime now, sir."
KIRK,"Doctor McCoy, take tricorder readings and see if it is human."
DICKERSON,"Phaser team, set ready for a heavy stun."
SPOCK,"Band honours ready, Captain."
KIRK,Energise.
KIRK,"The USS Enterprise is honoured to have you aboard, Mister"
LINCOLN,Strange. Where are the musicians?
KIRK,"That's taped music, sir. A starship on active duty never carries"
LINCOLN,"Taped music, you say. Well, perhaps Mister Spock will be good"
KIRK,"An energy-matter scrambler, sir. The molecules in your body are"
LINCOLN,"Well, since I'm obviously here, and quite whole, whatever you"
MCCOY,"Human, Jim."
LINCOLN,"All too human, Doctor McCoy. Happy to make your acquaintance."
KIRK,"Mister President, may I present my officers. Commander Spock,"
LINCOLN,"Mister Spock, Mister Scott, Mister Dickerson. Gentlemen, I"
KIRK,"Lieutenant Dickerson, you and your men may return to quarters."
LINCOLN,A most interesting vessel.
MCCOY,Just what was it you locked onto before you beamed him aboard?
SCOTT,"You heard Mister Spock yourself. Mineral he called it, like"
MCCOY,And that became Lincoln?
SCOTT,I couldn't tell. It may have been another figure down there
MCCOY,I'm not quite sure.
KIRK,"Yes, if I recall, your Union Army observation"
LINCOLN,You can measure great distances that closely?
SPOCK,"We do, sir. Six hundred forty three miles, two thousand twenty"
LINCOLN,Bless me.
UHURA,"Excuse me, Captain Kirk."
KIRK,"Yes, Lieutenant."
UHURA,Mister Scott
LINCOLN,"What a charming negress. Oh, forgive me, my dear. I know in my"
UHURA,"But why should I object to that term, sir? You see, in our"
KIRK,"May I present our communications officer, Lieutenant Uhura."
LINCOLN,The foolishness of my century had me apologising where no
KIRK,We've each learned to be delighted with what we are. The Vulcans
SPOCK,"It is basic to the Vulcan philosophy, sir. The combination of a"
LINCOLN,"Yes. Philosophy of Nome, meaning all. How did I know that?"
KIRK,Certainly. Our engineering officer
UHURA,"Has been waiting in the briefing room for you, sir, for over two"
KIRK,"Oh, dear. If you’ll forgive me, our communications officer"
LINCOLN,I would be delighted to have her as guide.
KIRK,Forgive me again. We'll rejoin you shortly.
MCCOY,Where the devil are they?
SCOTT,"Why, they're probably looking up a plate of haggis in the"
KIRK,"Sorry to have been delayed, gentlemen."
MCCOY,"Jim, I would be the last to advise you on your command image."
KIRK,"I doubt that, Bones, but continue."
MCCOY,Do I have to lay it out for you? Practically the entire crew has
SCOTT,Lincoln died three centuries ago on a planet hundreds of light
SPOCK,"More that direction, Engineer."
MCCOY,"You're the science officer. Why aren't you, well, doing whatever"
SPOCK,"I am, Doctor. I am observing the alien."
MCCOY,At last! At least somebody agrees with us he's an alien.
KIRK,"Yes, of course he's an alien."
SCOTT,Mad. Loony as an Arcturian dogbird.
KIRK,"Gentlemen, as you know, Mister Spock and I have been invited to"
MCCOY,"Yes, a big one. Suddenly, miraculously, we see a small spot of"
SCOTT,You might beam down into a sea of molten lava.
KIRK,But why would he want to kill only two of us?
SPOCK,"It would be illogical. With such abilities, they could as easily"
MCCOY,"Are you implying, Mister Spock, that it's probably safe to beam"
SPOCK,"No, I'm not, Doctor. There's no doubt they want us down there"
KIRK,"Why Lincoln, Spock? Any speculation on that?"
SPOCK,"Speculation is unnecessary, Captain. The answer is clear."
KIRK,"But not only to me, Spock."
SPOCK,"Agreed. I, too, experienced his charm. It is a magnificent work"
MCCOY,"But he holds a special involvement to you, Jim. I think it's"
SCOTT,"Don't do it, Captain."
KIRK,The very reason for the existence of our starships is contact
as for you SPOCK,"Captain, since I was included in the invitation to make contact,"
MCCOY,You're both out of your heads!
SCOTT,"Aye, sir."
KIRK,And you're on the edge of insubordination.
MCCOY,Would I be on the edge of insubordination to remind the captain
SCOTT,Aye!
KIRK,"Gentlemen, your concern is noted and appreciated. Mister Spock,"
KIRK,"Standing by, Mister Scott."
SCOTT,Transporter room to bridge. Standing by.
MCCOY,If they’re wrong and they do beam into a pool of lava
SCOTT,Then they're dead men. I couldna pull them back in time.
KIRK,"All right, Mister Scott, energise."
MCCOY,Scotty.
SPOCK,Captain. Our phasers and tricorders did not beam down with us.
KIRK,"Kirk to Enterprise. Enterprise? Enterprise, come in. Kirk to"
SPOCK,"Undamaged, yet something is preventing them from functioning."
SCOTT,"Come in, landing party. Report. Enterprise"
MCCOY,"If they’re all right, they should've reported in."
KIRK,"Your explanation, sir?"
LINCOLN,"Well, I have none. To me this seems quite as it should be."
KIRK,Why were our weapons taken? Why can't we communicate with our
LINCOLN,"Please, believe me. I know nothing other than what I have"
KIRK,The game is over. We've treated you with courtesy. We've gone
LINCOLN,"Despite the seeming contradictions, all is as it appears to"
SURAK,Just as I am whom I appear to be.
SPOCK,Surak.
KIRK,Who?
SPOCK,"The greatest of all who ever lived on our planet, Captain. The"
SULU, All ship's systems
UHURA,All decks report status. All decks report status.
SULU,Bridge to Engineering. Come in. What's happening to our power?
SCOTT,"How is it, Mister Sulu?"
SULU,No answer yet on what caused it. They're standing by.
SCOTT,Shut down all but the most necessary systems.
UHURA,"No damage report, Mister Scott."
SCOTT,Engage restart cycle.
SCOTT,Start emergency procedures.
SURAK,"Live long and prosper, Spock. May you also,"
SPOCK,"It is not logical that you are Surak. There is no fact,"
SURAK,"Whatever I am, would it harm you to give response?"
SPOCK,"Live long and prosper, image of Surak, father of all we now hold"
SURAK,"The image of Surak read in your face what is in your mind,"
SPOCK,"As I turned and my eyes beheld you, I displayed emotion. I beg"
SURAK,The cause was more than sufficient. Let us speak no further of
KIRK,"Spock, we'll not go along with these charades any longer."
ROCK,"You'll have an answer soon, Captain. Our world is called"
KIRK,"We know nothing of your world or your customs. What do you mean,"
ROCK,"You're intelligent life form, but I'm surprised you do not"
KIRK,"We perceive we were invited to come here, and we came in"
ROCK,Your objection is well taken. We shall communicate with your
ROCK,"Captain, Mister Spock, some of these you may know through"
MCCOY,At least the captain and Spock are safe.
SCOTT,It's a confrontation of some sort. Those are all figures out of
ROCK,The confrontation of the two opposing
KIRK,"What do you mean, survival?"
ROCK,"The word is explicit. If you and Spock survive, you return to"
MCCOY,Can we beam the captain and Spock back up?
SCOTT,We don't have the power. They'll come aboard a mass of dying
MCCOY,"Well, can we send the phasers down?"
SCOTT,"There's nothing we can do, Doctor. Nothing but watch them. He's"
MCCOY,"But they're not real, any more than that Lincoln or Surak. What"
CHEKOV,As life-forms. They are living beings.
MCCOY,Could they be aliens projecting an illusion?
CHEKOV,The readings are those of humanoids.
ROCK,Do you wish further clarification? Your
KIRK,Mister Spock and I refuse to participate.
ROCK,You will decide otherwise.
KIRK,"Analysis, Spock. Why do they want us to fight?"
SPOCK,"It may be exactly as explained, Captain. Our concept of good and"
KIRK,And they'll get their answers if it kills us.
LINCOLN,"I'm afraid none of us may leave, gentlemen, until we do what"
GREEN,"Captain Kirk, may I speak with you? I quite agree with your"
KIRK,What do you want?
GREEN,"The same thing as you do, to get out of here. I have no quarrel"
KIRK,"You're somewhat different than the way history paints you,"
GREEN,History tends to exaggerate. I suggest we call a halt to this at
KIRK,Where do you come from?
GREEN,I can't remember. Isn't that strange? My memory used to be quite
KIRK,What do you propose?
SULU,Captain! How can we warn him?
KIRK,Anyone hurt?
LINCOLN,"I fear my clothing is somewhat damaged, but how delightful to"
KIRK,Mister Spock?
SPOCK,"I'm all right, Captain. However, I suggest that we prepare"
KIRK,"No, I think Colonel Green is right. That rock-like thing is our"
LINCOLN,"For an illusion, my opponent carried a considerable punch. Oh,"
SURAK,The captain speaks wisely. Those four are not our enemy. We
ROCK,I am disappointed. You display no interest in the honour we do
KIRK,"Kirk to Enterprise. Enterprise, come in."
ENGINEER,"Emergency increasing, sir."
SCOTT,"Give me that again, man. I cannot hear you."
UHURA,"Mister Scott, I have the captain."
KIRK,"Scotty, do you read me?"
UHURA,"Mister Scott, I have the captain."
SCOTT,"Engineering, check for radiation. Get a repair crew on it at"
SCOTT,Is there a danger of detonation?
UHURA,"Red Alert, Captain. Mister Scott is standing by."
UHURA,"I don't know yet, sir."
SCOTT,Captain.
KIRK,"Scotty, beam us up fast."
SCOTT,I cannot. We have a complete power failure.
KIRK,What happened?
SCOTT,"I can't explain it, sir, but the matter and"
SCOTT,There's no knowing and there's no stopping it either. The
ROCK,The estimate is quite correct. Your ship will
KIRK,What if they defeat us?
KIRK,"Scotty, inform Starfleet Command. Disengage"
ROCK,"Your communicators no longer function, Captain. You may proceed"
LINCOLN,"James, the war is forced upon us. History repeats itself."
GREEN,Did you set the traps?
KAHLESS,Yes.
GREEN,What did you find out? What are they doing?
KAHLESS,They've done nothing. They've not armed themselves nor
GREEN,With what? These? 
KAHLESS,Better than what they have.
GREEN,"No, it's not advantage enough. I want to make sure the odds are"
KIRK,There's nothing immoral about fighting an
SPOCK,"And if they’re real, Captain?"
KIRK,We'll use this as a base. It's defensible. They can't approach
LINCOLN,"Are we fighting a defensive war, James?"
KIRK,"No, we don't have time. But if things go against us, I want a"
LINCOLN,Do you drink whiskey?
KIRK,Occasionally. Why?
LINCOLN,Because you have qualities very much like those of another man
KIRK,"Thank you. Thank you. Mister Spock, we'll need weapons. I believe"
SPOCK,"Yes, Captain."
KIRK,And slings and spears. Slings. Mister President. You used a sling
LINCOLN,Indeed I did.
SPOCK,Captain. Logic dictates that we consider another course.
KIRK,"We don't have much time, Spock."
SURAK,"In my time on Vulcan, we also faced these same alternatives."
KIRK,"Circumstances were different then, Surak."
SURAK,"The face of war has never changed, Captain. Surely it is more"
